iter	F1	Logloss
299	0.8451081712	0.3601648075
300	0.8446119283	0.3598994549
301	0.8444549162	0.3597235893
302	0.8452042704	0.3594804765
303	0.8447688977	0.3592598817
304	0.8447688977	0.3591826617
305	0.8446726957	0.3590170288
306	0.8445156806	0.3588354965
307	0.8451336517	0.3585714683
308	0.8451336517	0.3584054727
309	0.8455083279	0.3582066645
310	0.8457260314	0.3579752628
311	0.8462222279	0.3576769606
312	0.8460045683	0.3574417029
313	0.8465007532	0.3571927847
314	0.8467183689	0.3569632565
315	0.8467444152	0.3567235325
316	0.8468575469	0.3564570174
317	0.8464827837	0.3563545429
318	0.8467965628	0.3562043274
319	0.8466047486	0.3559915485
320	0.8470667467	0.3557680891
321	0.8470667467	0.3556023387
322	0.8471277893	0.3553767012
323	0.8469098148	0.355111597
324	0.8471277893	0.3550745601
325	0.8472236359	0.3549526851
326	0.8475900416	0.3547849608
327	0.8479037279	0.3547001459
328	0.8479994084	0.3545430968
329	0.8478772376	0.3542838422
330	0.8484083822	0.3539815227
331	0.8488362579	0.3536285601
332	0.8487751064	0.3534495658
333	0.8487751064	0.3534379201
334	0.8484961727	0.3532343232
335	0.8491421478	0.3529986895
336	0.8491763976	0.3528348087
337	0.8490466684	0.3525825537
338	0.8490466684	0.3523193534
339	0.8492645655	0.3518896807
340	0.8494212095	0.351680654
341	0.8491421478	0.3513108827
342	0.8492033522	0.3511806115
343	0.8490735904	0.3509584042
344	0.8491078787	0.3508166287
345	0.8493185787	0.3505872253
346	0.8500065923	0.3503919352
347	0.8496661627	0.3501778832
348	0.8501018879	0.3499648956
349	0.8498568405	0.3498843043
350	0.8497343698	0.349757346
351	0.8497615214	0.3495486331
352	0.8496320304	0.3492917139
353	0.8496661627	0.3491921941
354	0.8496933055	0.3490831089
355	0.849536598	0.3489299393
356	0.8495024127	0.3488001612
357	0.8496863263	0.3486371962
358	0.8501498057	0.3485326963
359	0.8505859965	0.3483315773
360	0.8506812667	0.3481126404
361	0.8506812667	0.3479127283
362	0.8507426539	0.3476832232
363	0.8506812667	0.3473879443
364	0.8506473895	0.3471746679
365	0.8507702023	0.3470806968
366	0.8511726121	0.3468846629
367	0.8508930505	0.346544614
368	0.8506134933	0.3461216888
369	0.8510220753	0.3458794626
370	0.8515531064	0.3456841323
371	0.8514858398	0.3455367721
372	0.8517988968	0.3454819001
373	0.8516423897	0.3452303592
374	0.8521732588	0.3449930732
375	0.8523911283	0.344867856
376	0.8526089699	0.3447731505
377	0.8522013053	0.3444686937
378	0.8522293716	0.3442975811
379	0.8525371201	0.3440241558
380	0.852380578	0.3437476724
